id,name,type,info_url,code,body_type_id
1,Claims Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/claims,claim,43
2,Committee of the Whole (includes IT Policy Subcommittee),Standing Committees,http://www.minneapolismn.gov/council/committees/committee-of-the-whole,whole,57
3,Community Development & Regulatory Services Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/cdrs,reg,43
4,Elections & Rules Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/elections-rules,elections,43
5,"Health, Environment & Community Engagement Committee",Standing Committees,http://www.minneapolismn.gov/council/committees/hece,health,43
6,Intergovernmental Relations Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/intergovernmental,intergov,43
7,"Public Safety, Civil Rights & Emergency Management Committee",Standing Committees,http://www.minneapolismn.gov/council/committees/pscrem,safety,43
8,Taxes Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/taxes,taxes,43
9,Transportation & Public Works Committee,Standing Committees,http://www.minneapolismn.gov/council/committees/transportation-and-public-works,transit,43
10,Ways & Means (includes Budget Subcommittee),Standing Committees,http://www.minneapolismn.gov/council/committees/ways-and-means,budget,43
11,Zoning & Planning,Standing Committees,http://www.minneapolismn.gov/council/committees/zoning-and-planning,zoning,43
12,Audit Committee,Independent Committees,http://www.minneapolismn.gov/council/committees/audit,audit,180
13,Executive Committee,Independent Committees,http://www.minneapolismn.gov/council/committees/executive,executive,54
14,City Council,Full Council,,city,42
